Image,Contrast,Alignment,White Space,Color Consistency,Visual Hierarchy,Total Score
幻灯片1.JPG,1.449845179280129,2.0,2.0,0.3491042676548679,2.0,7.798949446934997
幻灯片10.JPG,2.0,2.0,2.0,0.14935604969165636,2.0,8.149356049691656
幻灯片11.JPG,2.0,2.0,2.0,0.14478353441346944,2.0,8.14478353441347
幻灯片12.JPG,2.0,2.0,2.0,0.13928790481750256,2.0,8.139287904817502
幻灯片13.JPG,1.7113918309674006,2.0,2.0,0.2495499564016524,2.0,7.960941787369053
幻灯片16.JPG,2.0,2.0,2.0,0.16453914111751963,2.0,8.164539141117519
幻灯片17.JPG,2.0,2.0,1.8944661458333334,0.16930246695913065,2.0,8.063768612792465
幻灯片19.JPG,1.9082222988832422,2.0,2.0,0.16016248910940994,2.0,8.068384787992652
幻灯片2.JPG,1.5203987778951296,2.0,2.0,0.22932181614871772,2.0,7.749720594043848
幻灯片21.JPG,2.0,2.0,2.0,0.16605465446230644,2.0,8.166054654462307
幻灯片22.JPG,2.0,2.0,2.0,0.14013121689516217,2.0,8.140131216895163
幻灯片23.JPG,2.0,2.0,2.0,0.12967980251182903,2.0,8.129679802511829
幻灯片24.JPG,2.0,2.0,2.0,0.14646611474031399,2.0,8.146466114740313
幻灯片25.JPG,1.865244092089157,2.0,0.4503125,0.17185028727870205,2.0,6.487406879367859
幻灯片28.JPG,1.535966036324701,2.0,2.0,0.19911614944271927,1.0,6.73508218576742
幻灯片29.JPG,2.0,2.0,2.0,0.22736027941083448,1.0,7.227360279410835
幻灯片3.JPG,2.0,2.0,2.0,0.233080376608201,2.0,8.2330803766082
幻灯片4.JPG,2.0,2.0,0.5176953125,0.16594411370017206,2.0,6.683639426200172
幻灯片5.JPG,1.2592246614428944,2.0,2.0,0.5186373715746313,2.0,7.777862033017526
幻灯片6.JPG,2.0,2.0,2.0,0.14077652968820412,2.0,8.140776529688203
幻灯片7.JPG,2.0,2.0,2.0,0.1257663266554267,2.0,8.125766326655427
幻灯片8.JPG,1.7887312017667714,2.0,2.0,0.18296244026858718,2.0,7.971693642035358
幻灯片9.JPG,1.635690046299469,2.0,0.45077256944444444,0.17357811540987547,2.0,6.260040731153789
